"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
margins_involved_a143,accession_information,,checkbox,"Margins Involved","687, CBD | 688, Pancreatic | 689, Retroperitoneal | 690, SMV / PV notch | 691, Proximal margin | 692, Distal  margin | 693, No margin involvement | 694, PanIN at margin | 695, CIS at CBD margin | 696, CIS at pancreatic margin",,,,,,,,RH,,,,
angiolymphatic_invasion_a144,accession_information,,radio,"Angiolymphatic invasion","559, Absent | 560, Present | 561, Indeterminate",,,,,,,,RH,,,,
perineural_invasion_a145,accession_information,,radio,"Perineural invasion","679, Present | 680, Absent",,,,,,,y,RH,,,,
other_pancreatic_pathology_a146,accession_information,,text,"Other pancreatic pathology",,,,,,,,,,,,,
presence_of_metastasis_a147,accession_information,,radio,"Presence of metastasis","1019, Yes | 1020, No | 1021, Unknown | 1022, Not Applicable",,,,,,,,RH,,,,
site_of_metastasis_a148,accession_information,,radio,"Site of metastasis","1063, Anus | 1083, Appendix | 1062, Bones | 1059, Breast | 1064, Brain & CNS | 1057, Colon | 1065, Cervix Uteri | 1066, Corpus Uteri | 1067, Esophagus | 1068, Kidney, Renal Pelvis, Ureter | 1069, Larynx | 1085, Liver | 1060, Lung | 1070, Lymphnode | 1071, Ovary | 1072, Oral Cavity | 1058, Pancreatic | 1073, Parotid & Other Glands | 1074, Pharynx | 1075, Prostate | 1076, Rectosigmoid | 1077, Rectum | 1086, Skin | 1078, Spleen | 1061, Stomach | 1079, Testis | 1080, Thyroid | 1081, Urinary Bladder | 1082, Gallbladder | 1084, Blood Cancer (Leukemia)",,,,,,,,RH,,,,
endocrine_pancreas_a149,accession_information,,descriptive,"<div style=""font-size: 12pt""><u>Endocrine Pancreas</u></div>",,,,,,,,,,,,,
specimen_type_a150,accession_information,,radio,"Specimen type","749, Pancreaticoduodenectomy (Whipple resection), partial pancreatectomy | 750, Pancreaticoduodenectomy (Whipple resection), total pancreatectomy | 751, Pylorus sparing pancreaticoduodenectomy, partial pancreatectomy | 752, Pylorus sparing pancreaticoduodenectomy, total pancreatectomy | 753, Partial pancreatectomy, pancreatic body | 754, Partial pancreatectomy, pancreatic tail | 755, Other | 756, Not specified",,,,,,,y,RH,,,,
location_of_tumor_a151,accession_information,,radio,"Location of tumor","614, Pancreatic head | 615, Uncinate process | 616, Pancreatic body | 617, Pancreatic tail | 618, Indeterminate | 619, Not specified",,,,,,,y,RH,,,,
tumor_focality_a152,accession_information,,radio,"Tumor focality","612, Unifocal | 613, Multifocal",,,,,,,y,RH,,,,
tumor_configuration_a153,accession_information,,radio,"Tumor configuration","635, Infiltrative | 636, Circumscribed | 637, Solid, entirely encapsulated | 638, Solid, partly encapsulated | 639, Cystic, entirely encapsulated | 640, Cystic, partly encapsulated",,,,,,,y,RH,,,,
tumor_size_cm_a154,accession_information,,text,"Tumor size (cm)",,,,,,,,y,,,,,
other_organs_submitted_a155,accession_information,,radio,"Other organs submitted","608, Spleen | 609, Gallbladder | 610, None | 611, Other",,,,,,,y,RH,,,,
functional_histopathologic_type_a156,accession_information,,radio,"Functional (histopathologic) type","604, Nonsecretory | 605, Secretory status unknown | 606, Functional correlation with clinical syndrome and/or biochemical evidence | 607, Cannot be assessed",,,,,,,y,RH,,,,
extent_of_invasion_primary_tumor_a157,accession_information,,radio,"Extent of invasion (Primary tumor)","644, Limited to pancreas | 645, Beyond capsule, but no invasion into adjoining organs | 646, Invades adjoining organs | 648, Other",,,,,,,y,RH,,,,
regional_lymph_node_status_a158,accession_information,,radio,"Regional lymph node status","664, Present | 665, Absent | 666, Cannot be assessed",,,,,,,y,RH,,,,
distant_metastasis_a159,accession_information,,radio,"Distant metastasis","653, Present | 654, Absent | 655, Cannot be assessed",,,,,,,y,RH,,,,
margins_a160,accession_information,,radio,Margins,"656, Posterior | 657, Uncinate | 658, Distal | 659, Common bile duct | 660, Proximal pancreatic | 661, Other | 662, Uninvolved | 663, Cannot be assessed",,,,,,,y,RH,,,,
perineural_invasion_a161,accession_information,,radio,"Perineural invasion","802, Present | 803, Absent",,,,,,,,RH,,,,
mitotic_activity_a162,accession_information,,radio,"Mitotic activity","595, Present (less than or equal to 4 mitoses/HPF) | 596, Present (greater than 4 mitoses/HPF) | 597, Absent | 598, Not applicable",,,,,,,y,RH,,,,
angiolymphatic_invasion_a163,accession_information,,radio,"Angiolymphatic invasion","684, Present | 685, Absent | 686, Indeterminate",,,,,,,y,RH,,,,
presence_of_metastasis_a164,accession_information,,radio,"Presence of metastasis","1023, Yes | 1024, No | 1025, Unknown | 1026, Not applicable",,,,,,,,RH,,,,
site_of_metastasis_a165,accession_information,,radio,"Site of metastasis","1093, Anus | 1113, Appendix | 1092, Bones | 1089, Breast | 1094, Brain & CNS | 1087, Colon | 1095, Cervix Uteri | 1096, Corpus Uteri | 1097, Esophagus | 1098, Kidney, Renal Pelvis, Ureter | 1099, Larynx | 1115, Liver | 1090, Lung | 1100, Lymphnode | 1101, Ovary | 1102, Oral Cavity | 1088, Pancreatic | 1103, Parotid & Other Glands | 1104, Pharynx | 1105, Prostate | 1106, Rectosigmoid | 1107, Rectum | 1116, Skin | 1108, Spleen | 1091, Stomach | 1109, Testis | 1110, Thyroid | 1111, Urinary Bladder | 1112, Gallbladder | 1114, Blood Cancer (Leukemia)",,,,,,,,RH,,,,
colon_tissue_a166,accession_information,,descriptive,"<div style=""font-size: 12pt""><u>Colon Tissue</u></div>",,,,,,,,,,,,,
diagnosis_a167,accession_information,,radio,Diagnosis,"871, Ulcerative colitis | 872, Crohn's disease | 873, Inflammatory bowel disease | 874, Diverticulitis | 875, Tuberculosis | 876, Irritable Bowel Syndrome | 879, Ischemic Colitis | 886, Lymphoid aggregate | 888, Colonic Mucosa only | 880, Meckel Diverticulum | 889, Angiodysplasia | 881, Volvulus | 882, Perforation | 890, Vascular ectasia | 891, Collagenous colitis | 883, Adhesions | 884, Intussusception | 938, Carcinoid Tumor | 939, Chronic Pancreatitis | 940, Pseudocyst | 1285, Adenocarcinoma | 2116, Other",,,,,,,y,RH,,,,
pathology_information_a168,accession_information,,text,"Pathology Information",,,,,,,,y,,,,,
pancreatic_tissue_a169,accession_information,,descriptive,"<div style=""font-size: 12pt""><u>Pancreatic Tissue</u></div>",,,,,,,,,,,,,
disease_type_a170,accession_information,,radio,"Disease Type","945, Acute pancreatitis | 946, Chronic pancreatitis | 947, Pseudocyst | 948, Nesidioblastosis | 949, Papillary solid neoplasm | 950, Other | 951, Not Applicable",,,,,,,y,RH,,,,
other_information_a171,accession_information,,text,"Other Information",,,,,,,,,,,,,
demographics_and_base_statistics_g172,global_database_statistics,,descriptive,"<div style=""font-size: 12pt""><u>Demographics and Base Statistics</u></div>",,,,,,,,,,,,,
gender_g173,global_database_statistics,,text,Gender,,,,,,,,y,,,,,
smoking_history_g174,global_database_statistics,,text,"Smoking History",,,,,,,,y,,,,,
nsaid_use_g175,global_database_statistics,,text,"NSAID Use",,,,,,,,y,,,,,
cox2_inhibitor_use_g176,global_database_statistics,,text,"COX-2 Inhibitor Use",,,,,,,,y,,,,,
harmone_replacement_therapy_g177,global_database_statistics,,text,"Harmone Replacement Therapy",,,,,,,,y,,,,,
number_of_colonoscopy_g178,global_database_statistics,,text,"Number of Colonoscopy",,,,,,,,y,,,,,
treatment_type_g179,global_database_statistics,,text,"Treatment Type",,,,,,,,y,,,,,
family_history_of_cancerlocation_g180,global_database_statistics,,text,"Family History of Cancer(location)",,,,,,,,y,,,,,
accession_information_g181,global_database_statistics,,descriptive,"<div style=""font-size: 12pt""><u>Accession Information</u></div>",,,,,,,,,,,,,
macroscopic_type_g182,global_database_statistics,,text,"Macroscopic Type",,,,,,,,y,,,,,
colonicpolyp_g183,global_database_statistics,,descriptive,"<div style=""font-size: 12pt""><u>Colonic Polyp</u></div>",,,,,,,,,,,,,
location_g184,global_database_statistics,,text,Location,,,,,,,,y,,,,,
configuration_g185,global_database_statistics,,text,Configuration,,,,,,,,y,,,,,
histology_g186,global_database_statistics,,text,Histology,,,,,,,,y,,,,,
dysplasia_g187,global_database_statistics,,text,Dysplasia,,,,,,,,y,,,,,
colonic_cancer_g188,global_database_statistics,,descriptive,"<div style=""font-size: 12pt""><u>Colonic Cancer</u></div>",,,,,,,,,,,,,
location_g189,global_database_statistics,,text,Location,,,,,,,,y,,,,,
histopathology_g190,global_database_statistics,,text,Histopathology,,,,,,,,y,,,,,
pt_stage_g191,global_database_statistics,,text,"pT Stage",,,,,,,,y,,,,,
pn_stage_g192,global_database_statistics,,text,"pN Stage",,,,,,,,y,,,,,
pm_stage_g193,global_database_statistics,,text,"pM Stage",,,,,,,,y,,,,,
exocrine_pancreas_g194,global_database_statistics,,descriptive,"<div style=""font-size: 12pt""><u>Exocrine Pancreas</u></div>",,,,,,,,,,,,,
location_g195,global_database_statistics,,text,Location,,,,,,,,y,,,,,
histopathology_g196,global_database_statistics,,text,Histopathology,,,,,,,,y,,,,,
pt_stage_g197,global_database_statistics,,text,"pT Stage",,,,,,,,y,,,,,
pn_stage_g198,global_database_statistics,,text,"pN Stage",,,,,,,,y,,,,,
pm_stage_g199,global_database_statistics,,text,"pM Stage",,,,,,,,y,,,,,
endocrine_pancreas_g200,global_database_statistics,,descriptive,"<div style=""font-size: 12pt""><u>Endocrine Pancreas</u></div>",,,,,,,,,,,,,
location_g201,global_database_statistics,,text,Location,,,,,,,,y,,,,,
histopathology_g202,global_database_statistics,,text,Histopathology,,,,,,,,y,,,,,
tissue_inventory_summary_i203,inventory_summary,,descriptive,"<div style=""font-size: 12pt""><u>Tissue Inventory Summary</u></div>",,,,,,,,,,,,,
rs_number_i204,inventory_summary,,text,"RS Number",,,,,,,,,,,,,
organ_specific_site_i205,inventory_summary,,radio,"Organ Specific Site","896, Bile Duct | 897, Colon | 898, Gall Bladder | 973, Liver | 974, Pancreas | 975, Small Intestine | 976, Spleen | 977, Stomach | 978, Other | 979, N/A",,,,,,,y,RH,,,,
indications_for_colon_procedure_i206,inventory_summary,,radio,"Indications for colon procedure","1233, Screening | 1234, Survillence | 1235, Diagnostic | 1236, Altered bowel habits | 1237, Ulcerative colitis | 1238, Crohn's disease | 1239, Diverticulitis | 1240, Abdominal pain | 1241, Hematochezia / Rectal bleeding | 1242, Guaiac positive stool | 1243, History of adenomatous polyp | 1244, History of polyp (unknown) | 1245, Personal history of CRC | 1246, Family history of CRC | 1247, Personal history of other cancer | 1288, suspected malignancy/ mass",,,,,,,,RH,,,,
indications_for_colon_procedure_i207,inventory_summary,,radio,"Indications for colon procedure","1248, Screening | 1249, Survillence | 1250, Diagnostic | 1251, Altered bowel habits | 1252, Ulcerative colitis | 1253, Crohn's disease | 1254, Diverticulitis | 1255, Abdominal pain | 1256, Hematochezia / Rectal bleeding | 1257, Guaiac positive stool | 1258, History of adenomatous polyp | 1259, History of polyp (unknown) | 1260, Personal history of CRC | 1261, Family history of CRC | 1262, Personal history of other cancer | 1289, suspected malignancy/ mass",,,,,,,,RH,,,,
indications_for_colon_procedure_i208,inventory_summary,,radio,"Indications for colon procedure","1263, Screening | 1264, Survillence | 1265, Diagnostic | 1266, Altered bowel habits | 1267, Ulcerative colitis | 1268, Crohn's disease | 1269, Diverticulitis | 1270, Abdominal pain | 1271, Hematochezia / Rectal bleeding | 1272, Guaiac positive stool | 1273, History of adenomatous polyp | 1274, History of polyp (unknown) | 1275, Personal history of CRC | 1276, Family history of CRC | 1277, Personal history of other cancer | 1290, suspected malignancy/ mass",,,,,,,,RH,,,,
procedure_type_i209,inventory_summary,,radio,"Procedure Type","899, Resection | 900, Biopsy | 901, Lymph node removal | 980, Polypectomy | 981, Colonoscopy | 1284, Blood Drawn | 2071, EDRN - Biopsy | 2070, RUS - Biopsy | 2013, Flexible SIG | 2072, Blood Draw - TJ",,,,,,,,RH,,,,
indication_for_pancreatic_proceduresurgery_i210,inventory_summary,,radio,"Indication for pancreatic procedure/surgery","1278, Confirmed pancreatic malignancy | 1279, Chronic pancreatitis | 1280, Suspected pancreatitis | 1281, Pancreatic cyst | 1282, Other mass lesions, e.g. Insulinoma | 1283, Suspected Pancreatic Malignacy/Mass",,,,,,,,RH,,,,
tissue_type_i211,inventory_summary,,radio,"Tissue Type","902, Paraffin Tumor Block | 903, Paraffin Normal Block | 904, Paraffin Lymph Node Block | 1000, Paraffin Polyp Block | 982, Paraffin Metastasis Block | 983, Bulk Tumor Block | 984, Bulk Normal Block | 985, Bulk Lymph Node Block | 986, Bulk Polyp Block | 987, Bulk Metastasis Block | 988, Frozen OCT Tumor | 989, Frozen OCT Normal | 990, Frozen OCT Lymph Nodes | 991, Frozen OCT Polyp | 992, Frozen OCT Metastasis Block | 1208, Paraffin non tumor (NOT normal) | 1209, Bulk non tumor (NOT normal) | 1210, Frozen OCT non tumor (NOT normal) | 1232, Normal Biopsy | 998, Unknown | 999, N/A | 2015, Normal Depleted | 2016, Bulk Tumor Depleted | 2017, Bulk Polyp Block Depleted | 2073, RUS - Biopsy | 2074, EDRN - Biopsy | 2075, NOT banked",,,,,,,,RH,,,,
date_of_procedurecollection_i212,inventory_summary,,text,"Date of Procedure/Collection",,,,,,,,,,,,,
age_at_procedurecollection_i213,inventory_summary,,text,"Age at Procedure/Collection",,,,,,,,y,,,,,
procedure_date_range_i214,inventory_summary,,radio,"Procedure Date (Range)","2145, 2014 | 2142, 2013 | 2113, 2012 | 2112, 2011 | 2069, 2010 | 2068, 2009 | 1292, 2008 | 1287, 2007 | 1216, 2006 | 1217, 2005 | 1218, 2004 | 1219, 2003 | 1220, 2002 | 1221, 2001 | 1222, 2000 | 1993, 1999 | 1994, 1998 | 1995, 1997 | 1996, 1996 | 1997, 1995 | 1998, 1994 | 1999, 1993 | 2000, 1992 | 2001, 1991 | 2002, 1990",,,,,,,,RH,,,,"All year ranges are from July 1st to Jun 30th. (Financial Year)"
warm_ischememic_time_minutes_i215,inventory_summary,,text,"Warm Ischememic time (minutes)",,,number,0,720,,,,,,,,
blood_inventory_summary_i216,inventory_summary,,descriptive,"<div style=""font-size: 12pt""><u>Blood Inventory Summary</u></div>",,,,,,,,,,,,,
buffy_coat_i217,inventory_summary,,radio,"Buffy Coat","1193, Yes | 1194, No | 1195, N/A | 2018, Depleted",,,,,,,,RH,,,,
number_of_nuc_vial_buffycoat_i218,inventory_summary,,radio,"Number of Nuc Vial (Buffycoat)","1014, N/A | 917, 1 | 918, 2 | 919, 3 | 1001, 4 | 1002, 5 | 1003, 6 | 1004, 7 | 1005, 8 | 1006, 9 | 1007, 10 | 1008, 11 | 1009, 12 | 1010, 13 | 1011, 14 | 1012, 15",,,,,,,,RH,,,,
plasma_i219,inventory_summary,,radio,Plasma,"1196, Yes | 1197, No | 1198, N/A | 2019, Depleted",,,,,,,,RH,,,,
number_of_nuc_vial_plasma_i220,inventory_summary,,radio,"Number of Nuc Vial (Plasma)","1117, N/A | 1118, 1 | 1119, 2 | 1120, 3 | 1121, 4 | 1122, 5 | 1123, 6 | 1124, 7 | 1125, 8 | 1126, 9 | 1127, 10 | 1128, 11 | 1129, 12 | 1130, 13 | 1131, 14 | 1132, 15 | 2089, 16 | 2090, 17 | 2091, 18 | 2092, 19 | 2093, 20 | 2094, 21 | 2095, 22 | 2096, 23 | 2097, 24 | 2098, 25 | 2121, 26 | 2122, 27 | 2123, 28 | 2124, 29 | 2125, 30 | 2126, 31 | 2127, 32 | 2128, 33 | 2129, 34 | 2130, 35",,,,,,,,RH,,,,
serum_i221,inventory_summary,,radio,Serum,"1199, Yes | 1200, No | 1201, N/A | 2020, Depleted",,,,,,,,RH,,,,
number_of_nuc_vial_serum_i222,inventory_summary,,radio,"Number of Nuc Vial (Serum)","1133, N/A | 1134, 1 | 1135, 2 | 1136, 3 | 1137, 4 | 1138, 5 | 1139, 6 | 1140, 7 | 1141, 8 | 1142, 9 | 1143, 10 | 1144, 11 | 1145, 12 | 1146, 13 | 1147, 14 | 1148, 15 | 2099, 16 | 2100, 17 | 2101, 18 | 2102, 19 | 2103, 20 | 2104, 21 | 2105, 22 | 2106, 23 | 2107, 24 | 2108, 25 | 2131, 26 | 2132, 27 | 2133, 28 | 2134, 29 | 2135, 30 | 2136, 31 | 2137, 32 | 2138, 33 | 2139, 34 | 2140, 35",,,,,,,,RH,,,,
red_cell_rbc_i223,inventory_summary,,radio,"Red Cell (RBC)","1202, Yes | 1203, No | 1204, N/A | 2021, Depleted",,,,,,,,RH,,,,
number_of_nuc_vial_rbc_i224,inventory_summary,,radio,"Number of Nuc Vial (RBC)","1149, N/A | 1150, 1 | 1151, 2 | 1152, 3 | 1153, 4 | 1154, 5 | 1155, 6 | 1156, 7 | 1157, 8 | 1158, 9 | 1159, 10 | 1160, 11 | 1161, 12 | 1162, 13 | 1163, 14 | 1164, 15",,,,,,,,RH,,,,
timing_of_blood_drawn_i225,inventory_summary,,radio,"Timing of Blood Drawn","2076, Pre | 2077, Post",,,,,,,,RH,,,,
whole_blood_i226,inventory_summary,,radio,"Whole Blood","1205, Yes | 1206, No | 1207, N/A",,,,,,,,RH,,,,
number_of_nuc_vial_whole_blood_i227,inventory_summary,,radio,"Number of Nuc Vial (whole blood)","1165, N/A | 1166, 1 | 1167, 2 | 1168, 3 | 1169, 4 | 1170, 5 | 1171, 6 | 1172, 7 | 1173, 8 | 1174, 9 | 1175, 10 | 1176, 11 | 1177, 12 | 1178, 13 | 1179, 14 | 1180, 15",,,,,,,,RH,,,,
is_sample_collected_prior_to_rtct_i228,inventory_summary,,radio,"Is sample collected prior to RT/CT?","970, Yes | 971, No | 972, Unknown | 1013, N/A",,,,,,,,RH,,,,
date_of_ctrt_i229,inventory_summary,,text,"Date of CT/RT",,,,,,,,,,,,,
freezer_number_i230,inventory_summary,,radio,"Freezer Number","2022, 0 | 2023, 1 | 2024, 2 | 2025, 3 | 2026, 4 | 2027, 5 | 2028, 6 | 2029, 7 | 2030, 8 | 2031, 9 | 2032, 10 | 2033, 11 | 2034, 12 | 2035, 13",,,,,,,,RH,,,,
rack_number_i231,inventory_summary,,radio,"Rack Number","2036, 0 | 2037, 1 | 2038, 2 | 2040, 3 | 2041, 4 | 2042, 5 | 2043, 6 | 2044, 7 | 2045, 8 | 2046, 9 | 2047, 10 | 2048, 11 | 2049, 12 | 2050, 13 | 2051, 14 | 2052, 15 | 2053, 16 | 2054, 17 | 2055, 18 | 2056, 19 | 2057, 20 | 2058, 21 | 2059, 22 | 2060, 23 | 2061, 24 | 2062, 25",,,,,,,,RH,,,,
box_number_i232,inventory_summary,,text,"Box Number",,,,,,,,,,,,,
age_at_procedure_i233,inventory_summary,,text,"Age at Procedure",,,,,,,,,,,,,
